日期,收盘,开盘,高,低,涨跌幅
2020年8月,5.4204,5.2223,5.4918,5.2131,3.75%
2020年7月,5.2242,5.466,5.4763,5.0827,-4.44%
2020年6月,5.4672,5.334,5.5082,4.8175,2.44%
2020年5月,5.337,5.4861,5.9718,5.2691,-2.74%
2020年4月,5.4875,5.2252,5.7484,5.0487,5.42%
2020年3月,5.2053,4.4949,5.255,4.4521,16.36%
2020年2月,4.4736,4.2805,4.5138,4.2081,4.46%
2020年1月,4.2824,4.0199,4.2904,4.0033,6.54%
2019年12月,4.0195,4.2366,4.2537,4.0085,-5.13%
2019年11月,4.2367,4.0175,4.2773,3.9686,5.43%
2019年10月,4.0184,4.1573,4.1875,3.9638,-3.30%
2019年9月,4.1556,4.1435,4.1947,4.0265,0.25%
2019年8月,4.1453,3.8159,4.1951,3.8108,8.72%
2019年7月,3.8129,3.8375,3.8808,3.7176,-1.02%
2019年6月,3.852,3.9227,3.9343,3.8061,-1.80%
2019年5月,3.9228,3.9204,4.1223,3.909,0.03%
2019年4月,3.9215,3.8895,4.0066,3.8148,-0.08%
2019年3月,3.9247,3.7518,4.0163,3.7387,4.62%
2019年2月,3.7514,3.6457,3.7954,3.6378,2.95%
2019年1月,3.644,3.8784,3.8969,3.6358,-6.11%
2018年12月,3.8813,3.867,3.9461,3.8154,0.37%
2018年11月,3.8669,3.7226,3.9447,3.6794,3.89%
2018年10月,3.722,4.0497,4.063,3.5813,-8.08%
2018年9月,4.0491,4.0929,4.2117,3.9676,-0.16%
2018年8月,4.0556,3.7569,4.2159,3.6907,7.97%
2018年7月,3.7563,3.8784,3.9531,3.6883,-3.12%
2018年6月,3.8771,3.7253,3.9677,3.668,4.13%
2018年5月,3.7235,3.508,3.7773,3.5079,6.17%
2018年4月,3.5072,3.3051,3.516,3.2959,6.11%
2018年3月,3.3051,3.2463,3.3464,3.2055,1.81%
2018年2月,3.2462,3.1857,3.3188,3.1616,1.89%
2018年1月,3.1859,3.3134,3.3134,3.1195,-3.82%
2017年12月,3.3125,3.2729,3.3479,3.2197,1.22%
2017年11月,3.2727,3.2725,3.3349,3.2002,0.00%
2017年10月,3.2727,3.1641,3.303,3.1221,3.50%
2017年9月,3.1619,3.1475,3.2005,3.0789,0.44%
2017年8月,3.1479,3.1271,3.2212,3.1073,0.69%
2017年7月,3.1264,3.3189,3.3312,3.1102,-5.47%
2017年6月,3.3072,3.2271,3.3495,3.2149,2.50%
2017年5月,3.2266,3.1766,3.4095,3.0875,1.57%
2017年4月,3.1766,3.1235,3.2149,3.0806,1.71%
2017年3月,3.1233,3.1088,3.1984,3.0596,0.46%
2017年2月,3.1091,3.1515,3.1633,3.0389,-1.33%
2017年1月,3.1509,3.2534,3.2923,3.1012,-3.19%
2016年12月,3.2547,3.3854,3.4938,3.2416,-3.83%
2016年11月,3.3842,3.1891,3.5086,3.163,6.11%
2016年10月,3.1893,3.2631,3.264,3.1026,-2.18%
2016年9月,3.2603,3.2265,3.3689,3.1657,1.02%
2016年8月,3.2273,3.2487,3.2927,3.1128,-0.66%
2016年7月,3.2486,3.2137,3.3724,3.1969,1.10%
2016年6月,3.2134,3.6088,3.6361,3.1827,-11.01%
2016年5月,3.6111,3.4354,3.6761,3.4331,5.10%
2016年4月,3.4358,3.5901,3.7191,3.4289,-4.39%
2016年3月,3.5935,4.0167,4.0222,3.5323,-10.54%
2016年2月,4.0171,3.9992,4.0791,3.8453,0.46%
2016年1月,3.9988,3.9608,4.1738,3.959,0.96%
2015年12月,3.9608,3.8687,4.0424,3.7165,2.37%
2015年11月,3.869,3.8562,3.9243,3.6937,0.33%
2015年10月,3.8564,3.9508,4.0457,3.7227,-2.35%
2015年9月,3.9491,3.6199,4.2496,3.6195,9.11%
2015年8月,3.6193,3.4218,3.6838,3.4202,5.79%
2015年7月,3.4213,3.1031,3.4354,3.0932,10.25%
2015年6月,3.1031,3.1791,3.2149,3.0303,-2.41%
2015年5月,3.1798,3.0147,3.1973,2.9709,5.48%
2015年4月,3.0145,3.1942,3.1942,2.8817,-5.67%
2015年3月,3.1958,2.8391,3.3173,2.8391,12.57%
2015年2月,2.839,2.6824,2.9214,2.666,5.84%
2015年1月,2.6824,2.658,2.7314,2.5499,0.94%
2014年12月,2.6575,2.5656,2.7605,2.5435,3.57%
2014年11月,2.5659,2.4787,2.6296,2.4539,3.53%
2014年10月,2.4783,2.4438,2.5595,2.3561,1.32%
2014年9月,2.4461,2.2372,2.4792,2.226,9.40%
2014年8月,2.236,2.263,2.3079,2.2331,-1.23%
2014年7月,2.2639,2.2148,2.2751,2.199,2.24%
2014年6月,2.2144,2.2412,2.2917,2.1871,-1.17%
2014年5月,2.2407,2.2334,2.2492,2.1995,0.34%
2014年4月,2.233,2.2726,2.2893,2.1819,-1.72%
2014年3月,2.2721,2.3388,2.3767,2.2481,-2.84%
2014年2月,2.3384,2.4125,2.4402,2.3178,-3.08%
2014年1月,2.4127,2.378,2.4506,2.3275,2.14%
2013年12月,2.3621,2.3363,2.396,2.3043,1.13%
2013年11月,2.3358,2.235,2.3487,2.235,4.27%
2013年10月,2.2401,2.2163,2.2418,2.1471,1.08%
2013年9月,2.2162,2.3827,2.4041,2.1796,-7.12%
2013年8月,2.3862,2.2765,2.4554,2.2628,4.79%
2013年7月,2.2771,2.2292,2.303,2.2067,2.02%
2013年6月,2.2321,2.1438,2.2775,2.0842,4.19%
2013年5月,2.1423,2.0015,2.1507,1.9945,7.02%
2013年4月,2.0017,2.0182,2.0302,1.9637,-1.11%
2013年3月,2.0242,1.976,2.0276,1.9412,2.22%
2013年2月,1.9803,1.9909,1.9975,1.9498,-0.53%
2013年1月,1.9908,2.0333,2.0507,1.9811,-2.82%
2012年12月,2.0485,2.136,2.1392,2.039,-4.10%
2012年11月,2.1361,2.0317,2.1377,2.0303,5.18%
2012年10月,2.0309,2.0286,2.044,2.0158,0.26%
2012年9月,2.0257,2.0297,2.045,2.0061,-0.18%
2012年8月,2.0293,2.057,2.0575,2.0059,-1.33%
2012年7月,2.0567,2.0056,2.0567,1.9779,2.35%
2012年6月,2.0095,2.0223,2.0991,2.0042,-0.65%
2012年5月,2.0226,1.9042,2.1065,1.9042,5.96%
2012年4月,1.9088,1.8265,1.9123,1.8155,4.51%
2012年3月,1.8264,1.7174,1.8376,1.7098,6.35%
2012年2月,1.7174,1.7497,1.7497,1.6867,-1.71%
2012年1月,1.7472,1.8665,1.8754,1.7321,-6.23%
2011年12月,1.8632,1.8083,1.8884,1.7755,3.04%
2011年11月,1.8083,1.7172,1.914,1.713,5.31%
2011年10月,1.7172,1.8777,1.9175,1.6711,-8.61%
2011年9月,1.879,1.5892,1.9498,1.5886,18.24%
2011年8月,1.5892,1.5501,1.6585,1.545,2.60%
2011年7月,1.549,1.5621,1.5854,1.528,-0.84%
2011年6月,1.5622,1.5788,1.6163,1.5573,-1.13%
2011年5月,1.58,1.577,1.6457,1.5685,0.16%
2011年4月,1.5775,1.6318,1.6318,1.5565,-3.34%
2011年3月,1.632,1.664,1.6932,1.6205,-1.91%
2011年2月,1.6638,1.6672,1.6806,1.6553,-0.22%
2011年1月,1.6675,1.6598,1.6967,1.6433,0.48%
2010年12月,1.6596,1.7138,1.722,1.6592,-3.23%
2010年11月,1.715,1.7012,1.7428,1.6685,0.81%
2010年10月,1.7012,1.6876,1.7252,1.6433,0.81%
2010年9月,1.6876,1.7549,1.7593,1.6855,-3.84%
2010年8月,1.755,1.7541,1.7821,1.7431,0.06%
2010年7月,1.754,1.8052,1.8138,1.7495,-2.77%
2010年6月,1.8039,1.8195,1.8823,1.7488,-0.88%
2010年5月,1.82,1.7372,1.916,1.7252,4.75%
2010年4月,1.7375,1.7832,1.7932,1.7225,-2.58%
2010年3月,1.7836,1.8058,1.8302,1.7563,-1.31%
2010年2月,1.8072,1.8684,1.898,1.7874,-4.13%
2010年1月,1.885,1.7291,1.8971,1.7138,8.15%
